fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
"2018-02-23,3195,""MADRID, RETIRO"",MADRID,667,""4,3"",""0,0"",""-1,3"",07:30,""9,9"",16:40,10,""1,4"",""11,1"",13:50,""930,8"",00,""927,7"",15"
"2018-02-24,3195,""MADRID, RETIRO"",MADRID,667,""5,4"",""0,0"",""-0,3"",Varias,""11,0"",16:30,17,""1,4"",""5,8"",15:50,""931,6"",24,""928,4"",00"
"2018-02-25,3195,""MADRID, RETIRO"",MADRID,667,""6,8"",""0,0"",""0,0"",07:30,""13,5"",16:15,23,""1,4"",""5,6"",16:50,""935,8"",Varias,""931,4"",00"
"2018-02-26,3195,""MADRID, RETIRO"",MADRID,667,""8,8"",""0,0"",""1,7"",07:15,""16,0"",15:50,08,""1,1"",""10,3"",23:30,""935,1"",00,""925,0"",20"
"2018-02-27,3195,""MADRID, RETIRO"",MADRID,667,""3,6"",""19,9"",""1,5"",11:50,""5,6"",00:00,04,""1,7"",""11,1"",01:40,""927,6"",12,""924,4"",24"
"2018-02-28,3195,""MADRID, RETIRO"",MADRID,667,""7,8"",""19,2"",""3,6"",01:40,""12,0"",15:30,21,""1,9"",""14,2"",15:00,""924,4"",00,""915,0"",Varias"
"2018-03-01,3195,""MADRID, RETIRO"",MADRID,667,""8,4"",""17,3"",""5,4"",23:59,""11,5"",14:30,25,""4,2"",""23,3"",16:50,,,,"
"2018-03-02,3195,""MADRID, RETIRO"",MADRID,667,""6,4"",""15,3"",""4,2"",03:30,""8,5"",23:50,22,""1,9"",""13,1"",23:59,,,,"
"2018-03-03,3195,""MADRID, RETIRO"",MADRID,667,""9,4"",""13,8"",""5,3"",03:40,""13,4"",12:50,26,""3,6"",""13,6"",02:50,,,,"
"2018-03-04,3195,""MADRID, RETIRO"",MADRID,667,""9,2"",""4,9"",""5,4"",Varias,""13,0"",13:20,17,""2,5"",""10,6"",21:00,,,,"
